skill,n_ag,lift_ag,z_ag,n_fin,lift_fin,z_fin,n_joint,lift_jo,z_jo,lift_delta,z_delta,lift_comp
Ai/Ml,615,4.487660910518053,5.7631868690685035,133,1.3138403483309145,0.3457791383421938,34,8.091388611388611,0.4221443965849681,1.8500234705053982,0.3698301416415271,5.896069973866068
Ai/Ml Solutions,448,5.80570819291331,6.348607775756579,68,1.1929771846876702,0.10619484880254582,26,10.988787169115039,0.4717793137152268,1.9477595863851787,0.36476042017744936,6.926077415099862
Airflow,95,2.3192150030744,0.6196302152585789,25,0.8262347391786904,-0.26040090999505644,2,1.592379679144385,-0.024877943031968962,0.6798631476050832,-0.1380913346259236,1.9162160031644826
Algorithm Development,17,2.4974499707070397,0.3382261644397839,9,1.789931541158791,,0,0.0,-0.0356156101372513,0.0,-0.1301868293833602,4.470264475034629
Algorithms,206,2.087755527476782,0.535602333993599,64,0.8780887875227497,-0.3308732163400416,10,3.305305805305805,0.06593410657844513,1.6129406307977736,0.12957130049562515,1.833234719766006
Ambiguity Management,17,2.1876887340301976,0.20157093750004063,10,1.7421383647798743,,0,0.0,-0.03805496075966398,0.0,-0.1301868293833602,3.8112564737507215
Analytical Modeling,8,0.7460987354656853,-0.6519551164689104,12,1.515073139707441,,0,0.0,-0.04470675522296629,0.0,-0.08929079855677721,1.1303941536737474
Analytical Problem Solving,31,0.7011193498466709,-1.3826594748104504,29,0.887920929515192,-0.2114469038680419,2,1.475229130542482,-0.0306331477347875,2.1802507836990594,0.12608112102673194,0.622538544816943
Analytical Skills,77,0.49756857085892775,-3.084006155015678,133,1.1634825972957688,0.09803364816906515,4,0.842988074595704,-0.10604232400035117,1.7322540473225407,0.1044517684959785,0.578912373155689
Analytical Thinking,41,1.0038769490096924,-0.9597279102826802,33,1.0938470529303723,-0.013836079727964991,3,2.3956154465004023,0.006665864289147973,2.4958133971291865,0.19279609768450387,1.0980878421789857
Analytical Tools,10,0.41605756551657885,-1.2865389011836261,37,2.0840166453870523,0.6811874974019648,0,0.0,-0.06696693196599848,0.0,-0.0998342787321726,0.8670708919757644
Analytics Tools,56,0.8428277646330408,-1.4754663664887933,55,1.1206230007355584,0.013720565439398577,4,1.9634055880656063,-0.013131511157383497,2.431818181818182,0.21411935362581228,0.9444921787063211
Angular,30,1.97627343620375,0.12853252733247622,6,0.5350853548966756,,0,0.0,-0.053202739400074264,0.0,-0.17298962779983862,1.057474972983956
Anomaly Detection,63,3.9024026210411358,1.5488541765296329,6,0.5031399605744861,,2,4.040366350067843,0.04468197280986578,1.0365126676602088,-0.04128417586948382,1.963454700896408
Api Development,581,2.9540596869980957,3.0159701904753304,100,0.6883180675546824,-0.8566510721242175,22,3.6480857580398167,0.12307246231630754,1.244186046511628,-0.0011153031567896297,2.033332655195719
Api Integration,40,3.018308520747545,0.82023188637691,7,0.7150686106346483,,1,2.4609504132231406,0.005251268185166829,0.8106060606060607,-0.0686502285720552,2.1582976803976677
Application Architecture/Design/Modernization Projects,0,0.0,-0.11884795989769552,0,0.0,,0,0.0,-0.0047370758509120165,,0.0,0.0
Application Development,66,1.8230382579556719,0.02634230286223726,15,0.5609047813392773,,0,0.0,-0.08222501516801581,0.0,-0.25677642400254364,1.0225508754517632
Application Security,8,1.4280169345472258,-0.1651114951873377,5,1.2082572529924933,,0,0.0,-0.03230900411221658,0.0,-0.08929079855677721,1.7254118185627922
"Architecting Complex, Scalable, Secure Solutions",1,0.3860627177700348,-0.43130306018881476,0,0.0,,0,0.0,-0.021966894013196132,0.0,-0.03156449318092742,0.0
Architecting Solutions,23,3.1555043625997063,0.6757272604487795,5,0.9286605332917511,,0,0.0,-0.03685542980167199,0.0,-0.1514469157159614,2.9303923641762903
Artificial General Intelligence (Agi),0,0.0,-0.4285339095602422,0,0.0,,0,0.0,-0.01708066968124456,,0.0,0.0
Attention To Detail,47,0.3363072209539829,-3.2969700593023252,93,0.9008807742355237,-0.35558897137806933,0,0.0,-0.1621640780084337,0.0,-0.2166013772838982,0.30297270959402145
Authentication,44,2.341123916733673,0.43696233131450596,12,0.8643686502177068,,0,0.0,-0.059206345163622734,0.0,-0.20956157123416966,2.023594119899476
Autocad Civil 3D,1,0.2155934657676818,-0.6478587709633987,0,0.0,,0,0.0,-0.02939762223158126,0.0,-0.03156449318092742,0.0
Automated Testing,73,2.1448687983719283,0.3758179678926946,20,0.7955251294039072,,2,1.916492357200322,-0.011066693538577825,0.8905249679897568,-0.07564602928603684,1.7062970283792311
Security Assessments,4,2.0750871080139373,0.0713240020306614,3,2.1068985849056605,,1,16.919034090909093,0.12445227783086495,10.537878787878789,0.3858146910217456,4.371998091430544
Automating Security Operations,2,1.1857640617222498,-0.1499829257471937,1,0.8026280323450135,,0,0.0,-0.01772552643982872,0.0,-0.04463985779303767,0.9517274756855605
Automation And Scripting,557,1.9397080246087905,0.4479207960230863,196,0.9240240489845676,-0.45641163247969185,16,1.817190151991914,-0.042868356526656375,0.9349689127877667,-0.18448837769144727,1.7923368627468719
Automation Frameworks,43,2.77754850255562,0.7131097459508529,7,0.6121209896483372,,0,0.0,-0.053728541921100645,0.0,-0.20716221389088174,1.7001957381806032
Aws,578,2.5065838002759784,2.010924103431898,136,0.7984345734508389,-0.6853963683461182,27,3.8187161584497007,0.14942619694313428,1.5491255568388054,0.18088762127476274,2.0013431673921334
Aws Application Migration Service,1,0.3689043747580333,-0.4466501513650487,0,0.0,,0,0.0,-0.022472044719758017,0.0,-0.03156449318092742,0.0
Aws Glue,24,1.4078329496066289,-0.3038521021763931,11,0.8735315687712514,,0,0.0,-0.05638408156416252,0.0,-0.1547074131085573,1.2297865250377367
Aws Professional Level Certifications,13,1.084467634338942,-0.4664473672652692,7,0.7905281122594102,,0,0.0,-0.047272624494184304,0.0,-0.11383565712886706,0.8573021517803923
Aws Solutions,15,2.2233076157292184,0.20498195196924737,0,0.0,,0,0.0,-0.03545759088959278,0.0,-0.12228417144447762,0.0
Aws Step Functions,0,0.0,-0.34650923200304073,0,0.0,,0,0.0,-0.013811285438673418,,0.0,0.0
Aws Technologies,45,1.8309592129534742,0.02904088870933164,5,0.27541157972623015,,0,0.0,-0.06771932541886623,0.0,-0.21193396185407276,0.5042673692538113
Azure,432,2.3505411489007435,1.3986265296762572,154,1.1343599067426084,0.04989920460284624,34,6.033401865260273,0.31809501973020243,2.7006624029237094,0.7311192210910334,2.666359638461711
Azure Data Factory,5,0.34729491347513597,-1.045534264402905,18,1.6925712481250494,,1,2.265310003803728,0.0009227389083523527,7.903409090909091,0.32363965683285,0.5878213851680919
Azure Devops,24,1.056808288431501,-0.6672806620268187,22,1.3114558830889345,,1,1.4360983843742465,-0.023080970917135152,1.374505928853755,0.015503500677851239,1.3859574471606397
B2B Marketing,4,1.1067131242741,-0.24803063559855834,1,0.374559748427673,,0,0.0,-0.0259493365945209,0.0,-0.06313290437836663,0.41453018940971087
Backend Development,244,3.2430504682491637,2.315179357562783,25,0.4498315633638987,-0.8265149489382608,2,0.8669481039376956,-0.0724467292435719,0.26126972201352366,-0.3894948631734889,1.458826462200545
Backup And Recovery,0,0.0,-0.6176192404413108,3,1.2485324947589096,,0,0.0,-0.024617377972241172,,0.0,0.0
Bash,12,0.6552906656886118,-0.926501530877599,7,0.5174838629592851,,0,0.0,-0.05844133339212352,0.0,-0.10936749867519578,0.3391023450417043
Bayesian Methods,4,2.5539533637094616,0.17524537343182697,2,1.7287373004354138,,0,0.0,-0.01708066968124456,0.0,-0.06313290437836663,4.415114443417039
Benchmarking,40,1.9530231604837056,0.12969850350586096,21,1.3880743618201996,,2,3.18475935828877,0.026610189966878733,1.6638755980861244,0.06473743988493375,2.710941377108489
Bi Tools,19,0.546643397605058,-1.3998837718551411,37,1.4411137634478923,0.28053809714536115,0,0.0,-0.08056227556452292,0.0,-0.13763768659984327,0.7877753239865677
Bias For Action,27,2.3590463964790027,0.35212090489090997,3,0.3548460774577954,,2,5.699043062200957,0.07195984944072006,2.5290909090909093,0.16046938990528944,0.8370983603315213
Data Analytics,473,0.9817616425012177,-3.4428733825862654,419,1.1773483465205925,0.22066113980307783,24,1.6246334310850439,-0.08229954295785334,1.689815752176554,0.23839416056801266,1.1558754464761496
Big Data Technologies,85,1.310175704224213,-0.7424744806762782,47,0.9807414025682801,-0.14861216716983136,4,2.0108044230606907,-0.01062971667074016,1.5611672278338944,0.0713863966971113,1.2849435577717387
Bigquery,67,1.6502176407944664,-0.1785742913204681,8,0.26674878226303117,,2,1.606555165902347,-0.02421309439491994,0.9727272727272728,-0.055612880418197466,0.4401935461508961
Bioinformatics,8,1.526500861067724,-0.11726342416094182,14,3.616438950336153,,0,0.0,-0.031248991283674987,0.0,-0.08929079855677721,5.520497171686993
Bitbucket,3,0.48825579012092646,-0.6157274425471667,1,0.2203292637809841,,0,0.0,-0.03383691531435493,0.0,-0.05467356792561411,0.10757703877414641
Budget Management,18,0.5917080070376376,-1.2617953598350775,33,1.4685708948253315,0.28402367351001534,0,0.0,-0.07535651238786525,0.0,-0.13396391443706263,0.868965157370577
Build Processes,19,1.50196781151485,-0.19864835829563146,6,0.6421024258760109,,3,7.734415584415585,0.11991420552937017,5.9275568181818175,0.4600484693742665,0.9644171753613683
Business Acumen,50,1.451109865744012,-0.38435192092625053,24,0.9429476184193164,,3,2.8395581691036234,0.02210605491125871,2.0178916827852995,0.13277721880331614,1.36832059196809
Business Analysis,12,0.17866220840299368,-2.5291984402264656,55,1.1085624841357138,-0.0004196882298075487,1,0.4855686913982878,-0.08764822186984182,2.8739669421487606,0.1347707604771541,0.19805822156839528
Business Case Development,3,0.4407264654188893,-0.6718883408987657,8,1.5910502588078144,,0,0.0,-0.0356156101372513,0.0,-0.05467356792561411,0.7012179568681771
Business Development,40,1.0797201212430243,-0.8262220841295135,12,0.43850897376898296,,0,0.0,-0.08317975708456235,0.0,-0.19979257147247237,0.47346696232400043
Business Intelligence,149,0.5728355332914806,-3.7786210178936543,224,1.1658367343371758,0.13330793497858512,7,0.877689586929976,-0.1345477297817168,1.5584186939820743,0.09381698435925892,0.6678327074448344
Business Judgment,4,0.6989767100678526,-0.49772755062848834,7,1.6559483614697121,,0,0.0,-0.0326547081700299,0.0,-0.06313290437836663,1.1574693377423504
Business Process Analysis,64,0.847920669834905,-1.5646531026321964,67,1.2017000707735397,0.11590930170635531,1,0.4320902561126025,-0.09580023852287169,0.5018037518037518,-0.14944486093414314,1.0189463289509526
Business Process Mapping/Reengineering,2,0.46113046844754163,-0.5281183924563474,8,2.4970649895178196,,0,0.0,-0.028426822864213743,0.0,-0.04463985779303767,1.1514727483603078
Business Requirements,87,0.8091095950575352,-1.9466018869420285,102,1.2842048517520217,0.2616449525714117,7,2.123172905525847,-0.0065370825904455835,2.7661931818181817,0.340085930960272,1.0390624675720004
Business Savvy,0,0.0,-0.2058524259172998,0,0.0,,0,0.0,-0.008204928091981145,,0.0,0.0
Business To technical Requirements Translation,35,1.4822050771528126,-0.2895937036934176,15,0.859958606083943,,3,4.143436920222634,0.05712214413509049,2.9637784090909087,0.24254358610566132,1.2746350120788759
C#,37,1.4317617342007587,-0.35129202752264505,13,0.6810177244139509,,1,1.262025852934944,-0.03005471513103989,0.8781565656565656,-0.05570179845093074,0.9750551181283728
C++,68,1.402294890384574,-0.5203306707376217,5,0.1395874838860893,,0,0.0,-0.09520492900610543,0.0,-0.2606487386938335,0.19574281541510208
Cad software,0,0.0,-0.34650923200304073,0,0.0,,0,0.0,-0.013811285438673418,,0.0,0.0
Capacity Planning,8,0.7858318042182957,-0.6110566506130186,6,0.797878754047114,,0,0.0,-0.043561007801502544,0.0,-0.08929079855677721,0.6269985008402893
Career Development,79,1.5762680916644332,-0.2969014655628437,68,1.8367833817126271,0.7365830000964495,9,5.856588723776225,0.1576286039178472,4.06461038961039,0.5857300145846663,2.8952630358931066
Causal Inference,36,2.2134262485482,0.31098062089585754,10,0.8323549965059399,,2,4.010437710437711,0.0441093409160493,1.8596256684491979,0.08982414027760838,1.8423563973764927
Cdn,1,0.55335656213705,-0.3171019177268854,0,0.0,,0,0.0,-0.01834774352678884,0.0,-0.03156449318092742,0.0
Change Management,53,1.0078315392874104,-1.0840338981914566,43,1.1069463355594458,-0.0020555158153227325,2,1.240341559929189,-0.04388164562463487,1.2397504456327986,-0.0011313962352809189,1.1156154292754346
Chemistry,3,0.3458478513356562,-0.8122167033952014,10,1.5606656184486372,,0,0.0,-0.040207953838410256,0.0,-0.05467356792561411,0.5397528507938942
Ci/Cd,370,2.8528833440414556,2.230962621319161,116,1.2108387594317715,0.16736182322288418,20,5.029345944348266,0.19642049652332624,1.8064935064935064,0.26509587801470397,3.45438172910272
Ci/Cd Pipelines,169,2.5833496961646807,1.1792056998868061,57,1.179552798915876,0.08212111518405218,11,5.483885819521179,0.16171315816773224,2.2009493670886076,0.3016136237189749,3.047197364689527
Cissp,2,0.3192441704636827,-0.7030019896485659,8,1.7287373004354138,,0,0.0,-0.034167189404911764,0.0,-0.04463985779303767,0.5518893054271299
Civil Engineering Concepts,0,0.0,-0.475421649782075,0,0.0,,0,0.0,-0.018949551225141786,,0.0,0.0
Client Communication,10,1.1370340317884589,-0.3699373262558194,4,0.6157146549495993,,0,0.0,-0.04048639068422624,0.0,-0.0998342787321726,0.7000885165485827
Client Engagement,18,2.019003672662209,0.12225347405384465,2,0.3036970933197348,,0,0.0,-0.04076293051297539,0.0,-0.13396391443706263,0.6131655467893823
Client Relationship Management,30,1.2117296981103283,-0.5506376433935993,11,0.6014828076940733,,0,0.0,-0.06796828550801277,0.0,-0.17298962779983862,0.728834580985692
Clinical Laboratory Testing,0,0.0,-0.5112218016303214,2,1.2147883732789393,,0,0.0,-0.020376499058539017,,0.0,0.0
Clinical Trial Design And Execution,13,1.5752486075434269,-0.12084598816781171,44,7.217793692328879,2.406067523916781,4,15.807564698075646,0.23816493705900607,14.05050505050505,0.9042930713241969,11.369819463376796
Cloud Computing,788,2.125320735811513,1.185116408584662,229,0.8361415017703049,-0.7689332941376609,40,3.518499372276789,0.1545818709844192,1.690568789499271,0.3102060894799909,1.7770688717850078
Cloud Automation Scripting,0,0.0,-0.29112294344533735,0,0.0,,0,0.0,-0.011603673406908278,,0.0,0.0
Cloud Certifications,11,2.5362175764614787,0.28484747769145724,2,0.6242662473794549,,0,0.0,-0.028426822864213743,0.0,-0.10470924136722752,1.5832750289954232
Cloud Data Warehouses,13,1.43872706155633,-0.20365292231610602,7,1.0487672955974843,,2,7.218787878787879,0.09186227207698486,5.747933884297521,0.36712120148946575,1.5088898894513474
Cloud Migration,4,0.6148406245967221,-0.5717344151098618,3,0.6242662473794548,,0,0.0,-0.03481835726805475,0.0,-0.06313290437836663,0.3838242494534358
Cloud Security,12,1.464767370362779,-0.17987477558780476,7,1.1567286348501664,,1,3.9809491978609626,0.030779277421168226,2.8739669421487606,0.1347707604771541,1.6943383606928055
Cloudformation,14,1.1678882215957838,-0.4117090514266044,4,0.45173034986252014,,0,0.0,-0.047272624494184304,0.0,-0.11813528870690376,0.5275705549417798
Cnn,13,2.9973480449090206,0.46110455605811024,3,0.9363993710691823,,2,15.039141414141413,0.1629034654734003,5.747933884297521,0.36712120148946575,2.80671482412825
Content Creation,14,1.9695742042166184,0.08459799774476595,2,0.3809082187400064,,0,0.0,-0.036395436987796306,0.0,-0.11813528870690376,0.7502270018044177
Coaching,128,1.5464986889419736,-0.433027749124987,53,0.8668850072780204,-0.31751280961896516,7,2.758270477702792,0.029778347411748278,1.8288880540946657,0.1612876716100899,1.3406365272189118
Code Quality,64,2.505765564394188,0.6633818539691234,19,1.0070710217159131,,3,3.830724699828473,0.04972924343966515,1.5547690014903128,0.06066797736392197,2.5234838871150065
Code Reviews,169,2.2160487914967164,0.6791488069744979,54,0.9585889296253242,-0.18911304928756775,7,2.993573172483125,0.04119911344456446,1.3660213243546575,0.03854308827219816,2.1242798390383304
Coding Standards,29,1.5479749487435157,-0.2043365721588448,17,1.228459625068252,,3,5.222595732242034,0.0794690932731073,3.647727272727273,0.30454432560280664,1.901624725148506
Collaboration Skills,54,1.4161731921990852,-0.4450644535690007,26,0.9230856359354974,-0.16502275625301618,2,1.7106132414189286,-0.019518632916647686,1.215909090909091,-0.005474995933935842,1.307249131715896
Collaboration With Stakeholders,3,0.2895470383275261,-0.9226040795658081,9,1.175943396226415,,0,0.0,-0.04394623267748422,0.0,-0.05467356792561411,0.34049092761817096
Collaborative Work,25,0.6454392248876942,-1.3601675170145138,25,0.8737785733149447,-0.21053285551610554,0,0.0,-0.08505743945397205,0.0,-0.15790086029724001,0.5639709650838732
Commissioning,0,0.0,-0.7703548396101197,0,0.0,,0,0.0,-0.03070528687444612,,0.0,0.0
Communication Skills,458,1.1131946067003025,-2.660263852456765,336,1.1055819221525456,-0.009910721822745635,16,1.2683082656728337,-0.1208400815562511,1.144385026737968,-0.05432175531053431,1.2307278330055673
Community Engagement,15,1.2087886066100608,-0.3916203518838777,1,0.10909507235757465,,0,0.0,-0.04809760618122462,0.0,-0.12228417144447762,0.13187288050313642
Risk Management,74,1.2836484513524042,-0.7378157574611283,20,0.46966739614755226,,1,0.5657357271777335,-0.07743120811775743,0.4330635118306352,-0.17582641423285794,0.6028878257155216
Comptia Security+,0,0.0,-0.2223464971456363,0,0.0,,0,0.0,-0.008862354688476837,,0.0,0.0
Computational Biology,12,3.434626937402379,0.5625333595892861,8,3.099804814573845,,4,37.338557993730404,0.3978961910989315,15.806818181818182,0.9607231951245757,10.646673116824914
Computer Architecture,2,0.66402787456446,-0.37264412613516235,1,0.4494716981132076,,0,0.0,-0.023687874996163198,0.0,-0.04463985779303767,0.29846173637499185
Computer Science Fundamentals,15,4.882557901209265,0.9806934285809767,0,0.0,,0,0.0,-0.023923633567936232,0.0,-0.12228417144447762,0.0
Computer Skills,0,0.0,-1.2183588611230227,29,3.103495058400719,1.0027361408534776,0,0.0,-0.048562754715534444,,0.0,0.0
Computer Vision,65,2.0244752273306705,0.2379805193836636,8,0.33731459520691,,2,2.0315538120416172,-0.006747510329111624,1.0036075036075036,-0.04855477053069786,0.6828850418134622
Concurrency,10,2.2433374140691216,0.17444698460293212,2,0.6073941866394696,,0,0.0,-0.02881906203011308,0.0,-0.0998342787321726,1.3625901039764052
Configuration Management,8,0.7419305861055419,-0.6563980976367668,7,0.8788552756403499,,0,0.0,-0.04483225855661843,0.0,-0.08929079855677721,0.6520496097577924
Conflict Resolution,4,0.7905093744814998,-0.4287171958316004,2,0.5350853548966756,,0,0.0,-0.03070528687444612,0.0,-0.06313290437836663,0.4229899891935824
Confluence,13,0.46410550372784837,-1.3402154327469087,17,0.8216149320348954,,1,1.1643206256109482,-0.03446677019910387,2.6344696969696972,0.12020767819886509,0.38131601190237707
Consensus Building,4,1.5442508710801393,-0.07706206518453278,1,0.5226415094339623,,0,0.0,-0.021966894013196132,0.0,-0.06313290437836663,0.807089606206035
Construction Management,3,0.8441032303785507,-0.3400248231137212,0,0.0,,0,0.0,-0.025732127027734707,0.0,-0.05467356792561411,0.0
Consultative Expertise,1,0.66402787456446,-0.26348515061292954,2,1.7978867924528303,,0,0.0,-0.016748937851624016,0.0,-0.03156449318092742,1.1938469454999674
Consulting,187,1.5367971849449753,-0.5459913313225958,57,0.6341556136745751,-0.757944352947973,2,0.5360486048604861,-0.11477715726942118,0.34176904176904177,-0.31221090181619454,0.9745685619121403
Consumer Insights,21,1.315526921306949,-0.3636082479859937,7,0.5936418654325383,,0,0.0,-0.05455933405201023,0.0,-0.14470654902379285,0.7809518555913811
Container Orchestration,36,2.9295347407255585,0.7329116495254931,2,0.2203292637809841,,0,0.0,-0.047863342967552784,0.0,-0.18952418051712844,0.6454622326448785
Containerization,136,3.57230185683412,2.0132460544006134,20,0.7111893957487461,,3,2.5699798619102414,0.013035854997333094,0.7130895420369103,-0.15555185256654788,2.5405831989939816
Containers,31,2.3391891035793475,0.36554627037042575,7,0.7150686106346483,,1,2.4609504132231406,0.005251268185166829,1.0537878787878787,-0.026545275613773414,1.6726807023081924
Content Development,7,1.90499800079968,0.037728529229429174,2,0.736838849365914,,0,0.0,-0.02616474491732569,0.0,-0.0835221659573317,1.403676534953603
Contextual Reasoning,6,11.067131242740999,1.166782696192712,0,0.0,,0,0.0,-0.010049009773760472,0.0,-0.07732490023150973,0.0
Continuous Improvement,153,1.0938443670150988,-1.5795397695912163,126,1.219496855345912,0.18865919612899446,8,1.8653198653198655,-0.02625043119442767,1.7442006269592476,0.15104948456942094,1.3339397658127525
Continuous Integration,15,0.9920735177755876,-0.5921264516242601,11,0.9848981432759527,,0,0.0,-0.05309695686648831,0.0,-0.12228417144447762,0.9770913656504191
Continuous Learning,132,2.282595818815331,0.6850109063680864,53,1.2407291666666667,0.1439619523772676,11,6.203645833333334,0.18553726529367895,2.8739669421487606,0.4480491973897514,2.832083208115563
Contract Management,0,0.0,-0.6828208890151767,1,0.34050886220697546,,0,0.0,-0.02721625230631337,,0.0,0.0
Conversational Ai,83,9.373182583137785,3.9174943625239296,11,1.6816968296752661,,3,11.049165120593692,0.16051043906637616,1.1855113636363637,-0.013652547167390535,15.762851434030235
Cost Analysis,3,0.49802090592334497,-0.6050621132401663,4,0.8989433962264152,,0,0.0,-0.033503391449014,0.0,-0.05467356792561411,0.4476926045624877
Problem-Solving,261,0.8970562901724847,-2.9345773490344214,239,1.112046954959178,0.007764733558157435,8,0.8967438358742706,-0.14044838084041059,0.9996406755300036,-0.09929306832192744,0.9975687159132884
Creative Thinking,9,1.8000755635783552,0.00017735053450344137,6,1.6245964992043644,,0,0.0,-0.030521903083259066,0.0,-0.0947091532303139,2.924396458892719
Critical Thinking,21,0.3895135577054095,-1.9663780910473867,63,1.58193949615263,0.4974978407612203,0,0.0,-0.10040583805573763,0.0,-0.14470654902379285,0.616186881221114
Crm,96,1.5472494164608774,-0.37352599435415423,18,0.3927422604872687,,0,0.0,-0.10774447855188128,0.0,-0.3098765872819058,0.6076702333584524
Crm Tools,7,0.5810243902439025,-0.8006542574515806,4,0.4494716981132076,,0,0.0,-0.04739135515946095,0.0,-0.0835221659573317,0.2611540193281179
Cross-Functional Collaboration,111,0.891905785051489,-1.9188252995327568,38,0.41335732159491495,-1.1249437122135635,5,1.3102833758690486,-0.06287770019386976,1.4912092624356774,0.0635908235432987,0.3686757864238934
Cross-Functional Team Leadership,11,1.426622386759582,-0.19444930683275266,7,1.229024174528302,,0,0.0,-0.037907090717143106,0.0,-0.10470924136722752,1.7533534012507912
